datetime,Depth_meter,Water_Temperature_celsius
2016-07-16T17:00:00Z,4.0,7.38
2016-07-16T17:00:00Z,6.0,7.13
2016-07-16T17:00:00Z,7.0,7.58
2016-07-16T17:30:00Z,0.5,NA
2016-07-16T17:30:00Z,2.0,7.25
2016-07-16T17:30:00Z,4.0,7.38
2016-07-16T17:30:00Z,6.0,7.13
2016-07-16T17:30:00Z,7.0,7.26
2016-07-16T18:00:00Z,0.5,NA
2016-07-16T18:00:00Z,2.0,7.5
2016-07-16T18:00:00Z,4.0,7.5
2016-07-16T18:00:00Z,6.0,7.38
2016-07-16T18:00:00Z,7.0,7.04
2016-07-16T18:30:00Z,0.5,NA
2016-07-16T18:30:00Z,2.0,7.5
2016-07-16T18:30:00Z,4.0,7.5
2016-07-16T18:30:00Z,6.0,7.38
2016-07-16T18:30:00Z,7.0,7.06
2016-07-16T19:00:00Z,0.5,8.24
2016-07-16T19:00:00Z,2.0,7.5
2016-07-16T19:00:00Z,4.0,7.5
2016-07-16T19:00:00Z,6.0,7.38
2016-07-16T19:00:00Z,7.0,7.32
2016-07-16T19:30:00Z,0.5,NA
2016-07-16T19:30:00Z,2.0,7.5
2016-07-16T19:30:00Z,4.0,7.5
2016-07-16T19:30:00Z,6.0,7.38
2016-07-16T19:30:00Z,7.0,7.26
2016-07-16T20:00:00Z,0.5,8.34
2016-07-16T20:00:00Z,2.0,7.75
2016-07-16T20:00:00Z,4.0,8
2016-07-16T20:00:00Z,6.0,7.63
2016-07-16T20:00:00Z,7.0,7.38
2016-07-16T20:30:00Z,0.5,8.3
2016-07-16T20:30:00Z,2.0,7.75
2016-07-16T20:30:00Z,4.0,8
2016-07-16T20:30:00Z,6.0,7.63
2016-07-16T20:30:00Z,7.0,7.7
2016-07-16T21:00:00Z,0.5,8.5
2016-07-16T21:00:00Z,2.0,7.75
2016-07-16T21:00:00Z,4.0,8
2016-07-16T21:00:00Z,6.0,7.63
2016-07-16T21:00:00Z,7.0,7.3
2016-07-16T21:30:00Z,0.5,8.52
2016-07-16T21:30:00Z,2.0,7.75
2016-07-16T21:30:00Z,4.0,8
2016-07-16T21:30:00Z,6.0,7.63
2016-07-16T21:30:00Z,7.0,7.4
2016-07-16T22:00:00Z,0.5,8.64
2016-07-16T22:00:00Z,2.0,7.88
2016-07-16T22:00:00Z,4.0,8
2016-07-16T22:00:00Z,6.0,7.88
2016-07-16T22:00:00Z,7.0,7.36
2016-07-16T22:30:00Z,0.5,8.54
2016-07-16T22:30:00Z,2.0,7.88
2016-07-16T22:30:00Z,4.0,8
2016-07-16T22:30:00Z,6.0,7.88
2016-07-16T22:30:00Z,7.0,7.52
2016-07-16T23:00:00Z,0.5,8.5
2016-07-16T23:00:00Z,2.0,7.88
2016-07-16T23:00:00Z,4.0,8
2016-07-16T23:00:00Z,6.0,7.88
2016-07-16T23:00:00Z,7.0,8.26
2016-07-16T23:30:00Z,0.5,8.5
2016-07-16T23:30:00Z,2.0,7.88
2016-07-16T23:30:00Z,4.0,8
2016-07-16T23:30:00Z,6.0,7.88
2016-07-16T23:30:00Z,7.0,8.14
2016-07-17T00:00:00Z,0.5,8.46
2016-07-17T00:00:00Z,2.0,7.88
2016-07-17T00:00:00Z,4.0,8.13
2016-07-17T00:00:00Z,6.0,7.75
2016-07-17T00:00:00Z,7.0,8.26
2016-07-17T00:30:00Z,0.5,8.46
2016-07-17T00:30:00Z,2.0,7.88
2016-07-17T00:30:00Z,4.0,8.13
2016-07-17T00:30:00Z,6.0,7.75
2016-07-17T00:30:00Z,7.0,7.84
2016-07-17T01:00:00Z,0.5,8.42
2016-07-17T01:00:00Z,2.0,7.88
2016-07-17T01:00:00Z,4.0,8.13
2016-07-17T01:00:00Z,6.0,7.75
2016-07-17T01:00:00Z,7.0,7.68
2016-07-17T01:30:00Z,0.5,8.46
2016-07-17T01:30:00Z,2.0,7.88
2016-07-17T01:30:00Z,4.0,8.13
2016-07-17T01:30:00Z,6.0,7.75
2016-07-17T01:30:00Z,7.0,7.58
2016-07-17T02:00:00Z,0.5,8.56
2016-07-17T02:00:00Z,2.0,7.88
2016-07-17T02:00:00Z,4.0,8
2016-07-17T02:00:00Z,6.0,7.5
